Periodo;Partner;Pais;ID_Link;Nombre_Link;ID_Afiliador;Nombre_Afiliador;Registros;Cantidad_Primeros_Depositos;Valor_Primeros_Depositos
2024-06-01-2024-06-30;Ecuabet;Ecuador;18418;Fútbolvidaec;6073691;Alejandro Abraham;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;18363;Cuotas_TwitterEC_LigaPro_Combinada;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Doradobet;Perú;9803;PropellerAdsPE_Sorteos_Casino;22651;PropellerAds;0;1;20
2024-06-01-2024-06-30;Ecuabet;Ecuador;14923;Vias_PublicasEC1;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;18522;Bingo_FacebookEC_BA;1213088;FacebookEcuabet;0;19;141
2024-06-01-2024-06-30;Ecuabet;Ecuador;18541;Champions_BesoccerEC_320x50;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;16218;Bono_Bienvenida_MGIDEC_Registro;255431;QuotaMedia_ECEC;0;2;110
2024-06-01-2024-06-30;Ecuabet;Ecuador;18402;Sorteo_Eliminatorias_PopCashEC_Mob;255431;QuotaMedia_ECEC;0;1;1
2024-06-01-2024-06-30;Doradobet;Perú;16921;Landing_Regalo_FacebookPE_Tribal_Arequipa;46079;Facebook_DBPE;0;1;20
2024-06-01-2024-06-30;Milbets;Brasil;13383;Milbets.com.bets;4159295;Jian;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;18785;Landing_Regalo_FacebookEC_BA;1213088;FacebookEcuabet;0;38;249
2024-06-01-2024-06-30;Ecuabet;Ecuador;18471;Retargeting_BidQuestEC_Deportivas;255431;QuotaMedia_ECEC;0;1;2
2024-06-01-2024-06-30;Ecuabet;Ecuador;18817;Poker_Ruleta_AdCashEC_Popunder;255431;QuotaMedia_ECEC;0;1;50
2024-06-01-2024-06-30;Doradobet;Perú;3196;home;2088391;Caio;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;18606;Lotteria_FacebookEC_BA;1213088;FacebookEcuabet;0;3;16
2024-06-01-2024-06-30;Ecuabet;Ecuador;16340;Spot_Marca_FacebookEC_BA;1213088;FacebookEcuabet;0;3;111
2024-06-01-2024-06-30;Ecuabet;Ecuador;17221;Deportivas_BetGeniusPE_Retargeting;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;18509;Loteria_BidQuestEC;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;18433;WebTexto;6911177;Antonio;0;1;20
2024-06-01-2024-06-30;Ecuabet;Ecuador;18910;Sorteo_Chito_FacebookEC_BA;1213088;FacebookEcuabet;0;5;62
2024-06-01-2024-06-30;Ecuabet;Ecuador;18904;Crash_Games_BidQuestEC;255431;QuotaMedia_ECEC;0;1;3
2024-06-01-2024-06-30;Ecuabet;Ecuador;19019;Casino_Slot_Vivo_PropellerAdsEC_Popunder;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;16919;Liga_Local_MGIDEC_Registro;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;18906;Ligas_Europeas_FacebookEC_BA;1213088;FacebookEcuabet;0;17;104,7
2024-06-01-2024-06-30;Doradobet;Costa Rica;18061;Sorteo_Regalo_Año_FacebookCR_Reel_BA;779030;QuotaMedia_DBCR;0;1;3700
2024-06-01-2024-06-30;Doradobet;Perú;18827;Registro - CASINO - SORTEO CASINO LAS VEGAS AÑO NUEVO - DICIEMBRE - Form Steps;7025211;ByAds_DBPE;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;19015;Bono_Bienvenida_PropellerAdsEC_Popunder;255431;QuotaMedia_ECEC;0;1;20
2024-06-01-2024-06-30;Ecuabet;Ecuador;19545;Regalo_Bienvenida_MGIDEC_Registro_Casino;255431;QuotaMedia_ECEC;0;8;45
2024-06-01-2024-06-30;Doradobet;Costa Rica;19694;Torneos_Casino_FacebookCR_Pablo_BA;779030;QuotaMedia_DBCR;0;4;8000
